feature_set,n_features,accuracy,precision,recall,f1,sensitivity,specificity,tn,fp,fn,tp,n,roc_auc,accuracy_ci_low,accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,n_bootstrap,n_groups
dummy_baseline,0,0.514460511679644,0.514460511679644,1.0,0.6793977230995226,1.0,0.0,0,873,0,925,1798,0.5,,,,,,
single_occipital_alpha,1,0.7508342602892102,0.8619119878603946,0.614054054054054,0.7171717171717171,0.614054054054054,0.8957617411225659,782,91,357,568,1798,0.8298058883625894,0.6926561095901862,0.8108126680831464,0.7762716404573168,0.8829793110289456,2000.0,32.0
whole_scalp_band_powers,5,0.6907675194660734,0.7258261933904528,0.6410810810810811,0.6808266360505166,0.6410810810810811,0.7434135166093929,649,224,332,593,1798,0.7769381752886908,0.6320516221066339,0.752409471073047,0.7142746762149718,0.8410993321659148,2000.0,32.0
per_channel_relative,320,0.7992213570634038,0.8691099476439791,0.7178378378378378,0.7862640615748964,0.7178378378378378,0.8854524627720504,773,100,261,664,1798,0.8825621497786447,0.7450060979082039,0.8531969748391774,0.8336280541789509,0.9285356007034039,2000.0,32.0
all_features,674,0.8008898776418243,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,0.8941518838426055,0.748537391221071,0.8529457280942765,0.8492260239511498,0.9371446489347917,2000.0,32.0
