electrode_set,n_electrodes,channels,n_features,accuracy,precision,recall,f1,sensitivity,specificity,tn,fp,fn,tp,n,roc_auc,random_auc_mean,random_auc_min,random_auc_max,placement_advantage
all_64,64,AF3|AF4|AF7|AF8|AFz|C1|C2|C3|C4|C5|C6|CP1|CP2|CP3|CP4|CP5|CP6|CPz|Cz|F1|F2|F3|F4|F5|F6|F7|F8|FC1|FC2|FC3|FC4|FC5|FC6|FCz|FT7|FT8|Fp1|Fp2|Fpz|Fz|Iz|O1|O2|Oz|P1|P2|P3|P4|P5|P6|P7|P8|PO3|PO4|PO7|PO8|POz|Pz|T10|T7|T8|T9|TP7|TP8,674,0.8008898776418243,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,0.8941518838426055,,,,
ten_twenty_19,19,Fp1|Fp2|F7|F3|Fz|F4|F8|T7|C3|Cz|C4|T8|P7|P3|Pz|P4|P8|O1|O2,190,0.7814238042269188,0.8509234828496042,0.6972972972972973,0.7664884135472371,0.6972972972972973,0.870561282932417,760,113,280,645,1798,0.8889569982353488,0.8683672951301817,0.8461967121760936,0.8875564224017833,0.020589703105167056
occipital_9,9,P7|P5|PO7|PO3|O1|Oz|Iz|O2|PO8,90,0.7541713014460512,0.8396624472573839,0.6454054054054054,0.7298288508557457,0.6454054054054054,0.8694158075601375,759,114,328,597,1798,0.8438017398842141,0.8474827404724312,0.8199684220302778,0.8643051298721403,-0.003681000588217076
occipital_3,3,O1|Oz|O2,30,0.7419354838709677,0.8188105117565698,0.64,0.7184466019417476,0.64,0.849942726231386,742,131,333,592,1798,0.8299433454072629,0.8059216742515712,0.7281718832234296,0.8621825949661002,0.02402167115569165
occipital_1,1,Oz,10,0.7408231368186874,0.8130968622100955,0.6443243243243243,0.7189384800965019,0.6443243243243243,0.843069873997709,736,137,329,596,1798,0.8170954459614254,0.7634145072907959,0.6853150057273769,0.824192439862543,0.05368093867062951
headband_3,3,Fp1|Fpz|Fp2,30,0.6840934371523916,0.7168894289185905,0.6378378378378379,0.6750572082379863,0.6378378378378379,0.7331042382588774,640,233,335,590,1798,0.7760366552119129,0.7906505680938671,0.7656196402588156,0.8431293148818922,-0.014613912881954239
headband_1,1,Fpz,10,0.6629588431590656,0.70062893081761,0.6021621621621621,0.6476744186046511,0.6021621621621621,0.7273768613974799,635,238,368,557,1798,0.7390285130491316,0.7549106219621683,0.6967994798922634,0.824192439862543,-0.015882108913036652
