window_s,n_subjects,n_test_epochs,n_features,accuracy,precision,recall,f1,sensitivity,specificity,tn,fp,fn,tp,n,roc_auc,accuracy_ci_low,accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,n_bootstrap,n_groups
0.5,109,7865,674,0.771646535282899,0.7777777777777778,0.7715571107223195,0.77465495608532,0.7715571107223195,0.7717391304347826,2982,882,914,3087,7865,0.8637026819899579,0.7333528153703371,0.8117291111882959,0.821922271122029,0.9033160708451861,500,33
1.0,109,3816,674,0.7890461215932913,0.7958564931783729,0.7970647773279352,0.7964601769911505,0.7970647773279352,0.7804347826086957,1436,404,401,1575,3816,0.8792829167400106,0.7459074660696523,0.8348424552682283,0.8392542598440819,0.9200118600387494,500,33
2.0,106,1798,674,0.8008898776418243,0.8487084870848709,0.745945945945946,0.7940161104718066,0.745945945945946,0.8591065292096219,750,123,235,690,1798,0.8941518838426055,0.7492342473745625,0.8557503496050352,0.8512047646362259,0.9398397873154626,500,32
4.0,99,774,674,0.8604651162790697,0.8851174934725848,0.8411910669975186,0.8625954198473282,0.8411910669975186,0.8814016172506739,327,44,64,339,774,0.9382394841920101,0.8048710946737331,0.9108594138102335,0.8989987216195611,0.9714496579383177,500,30
8.0,84,303,674,0.8217821782178217,0.8592592592592593,0.7682119205298014,0.8111888111888111,0.7682119205298014,0.875,133,19,35,116,303,0.9174363889857093,0.7389091185837392,0.8913091881489438,0.8684512693830339,0.9628636092141155,500,26
