feature,channel,band,importance_mean,importance_std
logabs_F3_gamma,F3,gamma,-0.00035788365685274215,0.00012058519750574667
rel_C1_beta,C1,beta,-0.00035887433825581015,8.97523999792362e-05
rel_FC4_beta,FC4,beta,-0.0003724962075477789,0.00022986744111040268
logabs_POz_delta,POz,delta,-0.00038661341754127055,0.00024947351405349205
rel_C3_delta,C3,delta,-0.00038735642859357713,5.640906329410344e-05
rel_CP2_gamma,CP2,gamma,-0.00038983313210121383,0.00035806606371634024
logabs_F3_beta,F3,beta,-0.0003905761431534538,0.00019685446492244142
logabs_T10_theta,T10,theta,-0.0003937958577134637,0.00031471583641164266
rel_C6_alpha,C6,alpha,-0.0004064270456022978,0.0002100346794415958
rel_C4_alpha,C4,alpha,-0.00041038977121452545,0.00016749841633978435
logabs_FCz_alpha,FCz,alpha,-0.0004136094857744688,0.0002330510883945261
rel_AF3_theta,AF3,theta,-0.00041410482647594724,0.00015520376701974576
rel_PO4_gamma,PO4,gamma,-0.00041410482647594724,0.0009284476020732467
rel_CP5_theta,CP5,theta,-0.00042004891489428876,0.00011557849454320693
logabs_FC3_beta,FC3,beta,-0.0004205442555958561,0.00013723172542204744
logabs_AF7_alpha,AF7,alpha,-0.0004247546515588452,0.0003171505636171067
rel_FCz_delta,FCz,delta,-0.0004336707841862131,0.0001567528327168763
logabs_CP6_beta,CP6,beta,-0.00043763350979846293,0.000143558247115885
rel_PO7_gamma,PO7,gamma,-0.0004455589610229627,0.000400553790460563
rel_Fp2_gamma,Fp2,gamma,-0.00045447509365037497,0.00023848095638094073
logabs_CP5_alpha,CP5,alpha,-0.0004564564564564666,0.00010662086346572095
rel_AF7_theta,AF7,theta,-0.000473298040308312,0.00026621671142658263
rel_F5_delta,F5,delta,-0.0004928639980186667,0.00026729586667076664
rel_F5_gamma,F5,gamma,-0.000493607009070951,0.00030405467257918814
logabs_F6_theta,F6,theta,-0.0005030184824000195,0.00033446264693069917
logabs_FC2_alpha,FC2,alpha,-0.0005079718894152263,0.0002577264381837364
logabs_Cz_delta,Cz,delta,-0.0005196123959010368,0.00019124674056826468
logabs_CP6_alpha,CP6,alpha,-0.0005218414290579342,0.00031967862840636584
logabs_P7_theta,P7,theta,-0.0005255564843194227,8.990331388998994e-05
logabs_T7_theta,T7,theta,-0.0005315005727377197,0.0003075477433280977
logabs_P1_theta,P1,theta,-0.0005349679576484023,8.580982427300923e-05
logabs_FC1_alpha,FC1,alpha,-0.0005379400018575842,0.00037288710422862055
logabs_FC6_alpha,FC6,alpha,-0.0005391783536113249,0.00027360635868737773
rel_FT7_delta,FT7,delta,-0.0005458654530819285,0.0002736363988867157
logabs_AF8_delta,AF8,delta,-0.0005523048822018595,0.00018924510787740042
logabs_C4_alpha,C4,alpha,-0.0005597349927246809,0.0002747879939891437
logabs_P5_gamma,P5,gamma,-0.0005607256741277488,4.34617362505786e-05
rel_FT8_gamma,FT8,gamma,-0.000562211696232362,0.00030992062864711417
logabs_FC1_beta,FC1,beta,-0.0005644407293892816,0.00013433097350612982
rel_FC1_delta,FC1,delta,-0.0005973808860407104,0.0002771990031648117
rel_CP3_delta,CP3,delta,-0.000604315655862031,0.00012510907871723202
rel_CP2_alpha,CP2,alpha,-0.0006226432618185341,0.000405203680958101
rel_FC4_delta,FC4,delta,-0.0006320547351475137,0.00018904501197299005
logabs_Pz_delta,Pz,delta,-0.000660536825485325,0.00020891783181710872
logabs_FC3_alpha,FC3,alpha,-0.0006647472214482919,0.00029325717429194785
rel_CP3_beta,CP3,beta,-0.0006726726726727251,0.00019418271605790684
logabs_FC2_beta,FC2,beta,-0.0007147766323024607,0.00016226547890002067
logabs_CP5_theta,CP5,theta,-0.0007303798644004766,0.00015879011329579222
logabs_F5_gamma,F5,gamma,-0.0007308752051020439,0.00016976425037127673
logabs_FT7_delta,FT7,delta,-0.0007397913377295451,0.0008996925401119028
logabs_AFz_beta,AFz,beta,-0.000750441162812332,0.00010878058492514774
logabs_F1_gamma,F1,gamma,-0.0007895730782329525,0.00010849431453109475
logabs_CP5_gamma,CP5,gamma,-0.0007935358038451135,0.00012682414905106133
rel_Cz_beta,Cz,beta,-0.000798736881211215,0.0001802182629191907
logabs_POz_beta,POz,beta,-0.0008088913655923902,0.00013693594920846712
logabs_FCz_gamma,FCz,gamma,-0.0008457942478561576,0.00010005698255509079
logabs_PO3_delta,PO3,delta,-0.0008542150397820248,0.0003063186657937161
logabs_C5_gamma,C5,gamma,-0.0009111792204575586,0.00028735887741271755
logabs_F5_beta,F5,beta,-0.0009626946534163405,0.00031631256444754997
rel_Cz_delta,Cz,delta,-0.0010312993405777072,0.00024784786678799786
logabs_O1_gamma,O1,gamma,-0.0010377387696975937,0.00013174572829892877
logabs_F4_gamma,F4,gamma,-0.0010558187053032908,0.0003531770517778079
logabs_Pz_theta,Pz,theta,-0.00108504380669332,0.00019718262182628676
logabs_P8_gamma,P8,gamma,-0.0011395312838612171,0.00019194116627831279
logabs_FC3_gamma,FC3,gamma,-0.0011714807591096887,0.0003697885050284122
rel_CP6_gamma,CP6,gamma,-0.0012992786601034201,0.0006901672845928908
logabs_F2_gamma,F2,gamma,-0.0014211324726788321,0.0003566346413549415
logabs_FC1_gamma,FC1,gamma,-0.0014741339277421829,0.00021903442694237732
logabs_PO3_gamma,PO3,gamma,-0.001657409987306946,0.00020105066914580073
logabs_AF7_delta,AF7,delta,-0.0017562304572614096,0.0008282443882864554
logabs_PO7_gamma,PO7,gamma,-0.00185752763072351,0.00018647126860868058
logabs_PO4_gamma,PO4,gamma,-0.002150769326027069,0.00032804720976482046
logabs_FC2_gamma,FC2,gamma,-0.0022696510943933657,0.0003278648466355251
logabs_PO8_gamma,PO8,gamma,-0.0023040772731494964,0.00044520948348987803
logabs_P7_gamma,P7,gamma,-0.0029145846877806523,0.0001571772323007219
