fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001081081081081081,0.9968260003969212
0.0,0.2951351351351351,0.9246157725997788
0.001145475372279496,0.2951351351351351,0.9243374672926936
0.001145475372279496,0.32972972972972975,0.9097396216143715
0.002290950744558992,0.32972972972972975,0.9096969496213955
0.002290950744558992,0.3567567567567568,0.8947631264859595
0.003436426116838488,0.3567567567567568,0.8939514706725035
0.003436426116838488,0.39135135135135135,0.8698018685767771
0.004581901489117984,0.39135135135135135,0.8692889439178596
0.004581901489117984,0.3978378378378378,0.8671176999645761
0.0057273768613974796,0.3978378378378378,0.866140475875021
0.0057273768613974796,0.44216216216216214,0.8270765966705712
0.008018327605956471,0.44216216216216214,0.8254432513628124
0.008018327605956471,0.4594594594594595,0.8104154326017515
0.009163802978235968,0.4594594594594595,0.8097017415925429
0.009163802978235968,0.46702702702702703,0.804916280346676
0.010309278350515464,0.46702702702702703,0.8043752505556266
0.010309278350515464,0.4702702702702703,0.8036388039265585
0.011454753722794959,0.4702702702702703,0.8036376977173779
0.011454753722794959,0.47135135135135137,0.8026180409937682
0.012600229095074456,0.47135135135135137,0.8015761015118278
0.012600229095074456,0.4735135135135135,0.7987378196104907
0.013745704467353952,0.4735135135135135,0.7985202357683044
0.013745704467353952,0.47783783783783784,0.7955239074235785
0.014891179839633447,0.47783783783783784,0.7946051726418736
0.014891179839633447,0.4789189189189189,0.7944387044338737
0.016036655211912942,0.4789189189189189,0.7938111083692395
0.016036655211912942,0.4908108108108108,0.784181229950419
0.01718213058419244,0.4908108108108108,0.7820790077549483
0.01718213058419244,0.4983783783783784,0.775595252806343
0.019473081328751432,0.4983783783783784,0.7741741463224532
0.019473081328751432,0.49945945945945946,0.7740697855004517
0.020618556701030927,0.49945945945945946,0.7734215785023516
0.020618556701030927,0.5091891891891892,0.7620411245852534
0.021764032073310423,0.5091891891891892,0.7615057374897165
0.021764032073310423,0.5156756756756756,0.7551006175222889
0.024054982817869417,0.5156756756756756,0.7540083585171917
0.024054982817869417,0.5286486486486487,0.7419505588094886
0.026345933562428408,0.5286486486486487,0.7389593798409816
0.026345933562428408,0.5318918918918919,0.734748820341029
0.027491408934707903,0.5318918918918919,0.7341610340670135
0.027491408934707903,0.5383783783783784,0.732156137164374
0.029782359679266894,0.5383783783783784,0.7287517539266393
0.029782359679266894,0.5394594594594595,0.7262115874806593
0.030927835051546393,0.5394594594594595,0.726206998966936
0.030927835051546393,0.5427027027027027,0.7228956243458309
0.032073310423825885,0.5427027027027027,0.722430846986828
0.032073310423825885,0.547027027027027,0.7164456361920668
0.033218785796105384,0.547027027027027,0.7137807800943218
0.033218785796105384,0.5513513513513514,0.7131711418867961
0.03436426116838488,0.5513513513513514,0.7130852945216535
0.03436426116838488,0.5524324324324325,0.7097084485094831
0.03665521191294387,0.5524324324324325,0.7084397116116207
0.03665521191294387,0.5535135135135135,0.7081696541270319
0.038946162657502864,0.5535135135135135,0.7078536183270706
0.038946162657502864,0.5610810810810811,0.6978724890334647
0.042382588774341354,0.5610810810810811,0.6957966846219235
0.042382588774341354,0.5697297297297297,0.6885626576390212
0.043528064146620846,0.5697297297297297,0.687039705106298
0.043528064146620846,0.5740540540540541,0.6838878835342243
0.045819014891179836,0.5740540540540541,0.6822887615282452
0.045819014891179836,0.5783783783783784,0.6794620727289323
0.046964490263459335,0.5783783783783784,0.6781368456201171
0.046964490263459335,0.5805405405405405,0.6774051265984806
0.049255441008018326,0.5805405405405405,0.6770897529138143
0.049255441008018326,0.5924324324324325,0.6655332165591759
0.050400916380297825,0.5924324324324325,0.664895198669829
0.050400916380297825,0.5978378378378378,0.6628162338949611
0.05154639175257732,0.5978378378378378,0.6622966545300734
0.05154639175257732,0.6,0.6604676441095154
0.052691867124856816,0.6,0.6597410466797073
0.052691867124856816,0.6054054054054054,0.6546016081828094
0.053837342497136315,0.6054054054054054,0.6539587267853281
0.053837342497136315,0.6064864864864865,0.6514942441373642
0.054982817869415807,0.6064864864864865,0.648831648620785
0.054982817869415807,0.6086486486486486,0.6454892089335783
0.058419243986254296,0.6086486486486486,0.6419818772154946
0.058419243986254296,0.6097297297297297,0.640613309598979
0.06071019473081329,0.6097297297297297,0.6395630926737819
0.06071019473081329,0.6108108108108108,0.6374472464717555
0.06414662084765177,0.6108108108108108,0.6318180283783463
0.06414662084765177,0.614054054054054,0.6294100922839323
0.06529209621993128,0.614054054054054,0.6287161851065068
0.06529209621993128,0.6162162162162163,0.6266913378518261
0.06758304696449026,0.6162162162162163,0.6252797104218316
0.06758304696449026,0.6183783783783784,0.6244345185699977
0.06987399770904926,0.6183783783783784,0.6237900697137654
0.06987399770904926,0.6227027027027027,0.6191333576603929
0.07216494845360824,0.6227027027027027,0.6168521395861433
0.07216494845360824,0.6302702702702703,0.610898127763874
0.07331042382588775,0.6302702702702703,0.6099151998827104
0.07331042382588775,0.6335135135135135,0.6074425391238272
0.07445589919816724,0.6335135135135135,0.6072229100526773
0.07445589919816724,0.6378378378378379,0.6040950468371118
0.07560137457044673,0.6378378378378379,0.6034344840624208
0.07560137457044673,0.6443243243243243,0.5977480164489366
0.07674684994272624,0.6443243243243243,0.5961785015312923
0.07674684994272624,0.6454054054054054,0.5954197397856636
0.07789232531500573,0.6454054054054054,0.5944749158934681
0.07789232531500573,0.6464864864864864,0.5932901571547923
0.07903780068728522,0.6464864864864864,0.5926677088319839
0.07903780068728522,0.6475675675675676,0.5923451284691756
0.08132875143184422,0.6475675675675676,0.5916967146870626
0.08132875143184422,0.654054054054054,0.5856637868975272
0.08247422680412371,0.654054054054054,0.5820983407024204
0.08247422680412371,0.6594594594594595,0.572452456711943
0.0836197021764032,0.6594594594594595,0.5717319141055939
0.0836197021764032,0.6605405405405406,0.5704504963234105
0.08476517754868271,0.6605405405405406,0.5698345985107799
0.08476517754868271,0.6637837837837838,0.5694540706311652
0.08705612829324169,0.6637837837837838,0.5683577717000661
0.08705612829324169,0.6648648648648648,0.5663722345777371
0.0882016036655212,0.6648648648648648,0.5643481780459034
0.0882016036655212,0.6681081081081081,0.5612191922734289
