model,accuracy,precision,recall,f1,sensitivity,specificity,tn,fp,fn,tp,n,roc_auc,n_features,best_params,accuracy_ci_low,accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,n_bootstrap,n_groups
dummy,0.514460511679644,0.514460511679644,1.0,0.6793977230995226,1.0,0.0,0,873,0,925,1798,0.5,674,{},0.5039633130368057,0.5253587776425657,0.5,0.5,2000,32
logistic_regression,0.7931034482758621,0.8623853211009175,0.7113513513513513,0.7796208530805687,0.7113513513513513,0.8797250859106529,768,105,267,658,1798,0.8926472864617194,674,{'clf__C': 0.001},0.73818071093209,0.8473175214338364,0.8523199234296658,0.9332412414674569,2000,32
linear_svm,0.7981090100111234,0.8469135802469135,0.7416216216216216,0.7907780979827089,0.7416216216216216,0.8579610538373424,749,124,239,686,1798,0.8914423702052567,674,{'clf__C': 0.001},0.7448588836354497,0.8511915689169085,0.8457636128222021,0.9358247490597353,2000,32
random_forest,0.7753058954393771,0.8663853727144867,0.6659459459459459,0.7530562347188264,0.6659459459459459,0.8911798396334479,778,95,309,616,1798,0.8757809355747499,674,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 300}",0.7218795053960256,0.8319469961439505,0.8359592806975688,0.9187096023755019,2000,32
hist_gradient_boosting,0.7908787541713015,0.8541935483870968,0.7156756756756757,0.7788235294117647,0.7156756756756757,0.870561282932417,760,113,263,662,1798,0.8972613850964366,674,"{'clf__learning_rate': 0.05, 'clf__max_iter': 200, 'clf__max_leaf_nodes': 15}",0.7420288817627286,0.8419330908819701,0.8608097205412438,0.9350299394870427,2000,32
